user_id,movie_id,ratings,timestamp
1,0114508,8,1381006850
2,0499549,9,1376753198
2,1305591,8,1376742507
2,1428538,1,1371307089
3,0075314,1,1595468524
3,0102926,9,1590148016
3,0114369,10,1597555347
4,0790636,8,1391207279
4,1800241,7,1388955438
4,2278871,8,1383419733
5,0267626,6,1365738417
5,1343092,10,1368224599
5,1477855,7,1377225589
6,2884206,7,1422859103
6,3040964,7,1462982725
6,5022702,7,1462874083
7,1800241,7,1390001706
7,2378281,8,1449784109
7,2980516,10,1425239129
8,1001508,7,1472597389
8,1142988,7,1472591655
8,1292566,7,1462379800
9,0237572,9,1458259765
9,0810819,9,1458305446
9,1392190,9,1456480176
10,0038109,7,1581258579
11,0317740,5,1524261395
11,3612616,0,1524100139
12,0361748,8,1561943983
13,0481141,6,1572000816
13,1282140,7,1573137030
13,2388771,8,1564518647
14,3226786,4,1584214891
15,0181875,10,1592452453
16,1024855,8,1513121071
17,1025100,4,1571091111
18,1386697,5,1470430574
18,2277860,8,1469946067
18,3076658,8,1471761331
19,1790885,9,1367192869
20,2278388,10,1402198868
21,0110076,10,1394599511
21,1188982,10,1394599477
21,2574698,1,1393155819
22,1843866,10,1396613962
22,1872181,10,1399624104
22,2103281,8,1406766091
23,0437086,7,1590337280
23,2380307,9,1588458995
23,4520988,8,1594065967
24,0368891,10,1369848783
25,0770828,8,1371168848
25,1210819,7,1373080317
25,1663662,9,1374030096
26,0113277,10,1610356221
27,7286456,10,1570147324
28,2872732,7,1406393274
29,1707386,8,1362994911
30,0068646,10,1381651760
31,2334879,9,1381764810
32,2302755,7,1364449831
33,1661199,10,1426369128
34,0369610,7,1470769016
34,0478970,8,1470172800
34,1431045,8,1470769157
35,0454876,9,1369595876
36,1979320,10,1390263469
37,10367276,1,1583768080
38,0110475,6,1415848105
38,0114814,8,1446288472
38,0120737,9,1422399141
39,0289879,7,1589989242
39,0338013,9,1589976902
39,2584384,10,1589994921
40,1677720,9,1534676931
40,1979376,9,1562080909
40,2096673,10,1535394154
41,1798709,9,1398664947
41,1951261,8,1370168047
42,3450650,10,1444861557
43,1741243,6,1415304224
43,2179136,1,1424641161
43,2802144,9,1427641453
44,1800241,9,1389082441
45,7798634,6,1566685543
46,0137523,10,1483463045
46,0247745,5,1473723101
46,0405422,6,1475656842
47,0119282,10,1370736407
47,0961097,10,1375581018
47,1542768,10,1478905241
48,1951264,5,1451139047
49,0124315,6,1374096811
49,0317919,6,1375215188
49,0454876,8,1374610563
50,1386697,7,1470325162
51,0448115,10,1554713007
52,0108598,10,1362949644
53,0076759,5,1434342976
53,0080684,9,1438085361
53,0086250,9,1430016465
